Asset Name,Asset Type,Asset Category,Batch No,Vendor,Invoice,Bill Date,Purchase Date,Usage Date,Cost Centre,Purchase Branch,Current Branch,Current Sub Operating Unit,Currency,Cost Value,Book Value,Salvage Value,Accumulated Depreciation,Adjusted Amount,Warranty Date,Model,asset_description,note,method,method_progress_factor,method_time,depreciation_year,method_period,state
ADD WORK MTB CENTRE,Fixture,Interior Decoration,Initial,,,,6/2/2011,6/2/2011,,001,001,001,BDT,2174543,896770,,1277773,,6/2/2011,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
ADD WORK MTB CENTRE 5TH FLOOR,Fixture,Interior Decoration,Initial,,,,19/7/2011,19/7/2011,,001,001,001,BDT,1400125,604257,,795868,,19/7/2011,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
MTB CENTRE,Fixture,Interior Decoration,Initial,,,,28/7/2010,28/7/2010,,001,001,001,BDT,4500000,1758515,,2741485,,28/7/2010,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
MTB CENTRE CONSULTANCY FEE,Fixture,Interior Decoration,Initial,,,,18/1/2011,18/1/2011,,001,001,001,BDT,2700000,1107574,,1592426,,18/1/2011,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
MTB CENTRE ROOFTOP.,Fixture,Interior Decoration,Initial,,,,8/8/2012,8/8/2012,,001,001,001,BDT,3501020,1682741,,1818279,,8/8/2012,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
"RENOV & ADD WORKS, MTB CENTRE",Fixture,Interior Decoration,Initial,,,,23/6/2012,23/6/2012,,001,001,001,BDT,1464235,694801,,769434,,23/6/2012,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
MTB SKY ROOFTOP FLOOR.,Fixture,Interior Decoration,Initial,,,,5/4/2012,5/4/2012,,001,001,001,BDT,2258545,1048353,,1210192,,5/4/2012,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
"WORK AT TI, MTB SQR",Fixture,Interior Decoration,Initial,,,,18/1/2012,18/1/2012,,001,001,001,BDT,1697075,770783,,926292,,18/1/2012,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
"ADD WORK, MTB CENTRE.",Fixture,Interior Decoration,Initial,,,,4/1/2012,4/1/2012,,001,001,001,BDT,542590,245471,,297119,,4/1/2012,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
CARPET MTB CENTRE,Fixture,Interior Decoration,Initial,,,,26/9/2010,26/9/2010,,001,001,001,BDT,1700000,675543,,1024457,,26/9/2010,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
MTB CENT HUNT DOUG ECORISEN,Fixture,Interior Decoration,Initial,,,,31/10/2010,31/10/2010,,001,001,001,BDT,2718958,1091050,,1627908,,31/10/2010,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
CARPET MTB CENTRE,Fixture,Interior Decoration,Initial,,,,26/9/2010,26/9/2010,,001,001,001,BDT,1786542,709924,,1076618,,26/9/2010,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
68 DILKUSHA,Fixture,Interior Decoration,Initial,,,,27/9/2003,27/9/2003,,001,001,001,BDT,4615425,1357842,,3257583,,27/9/2003,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
CARPET MTB CENTRE,Fixture,Interior Decoration,Initial,,,,1/6/2010,1/6/2010,,001,001,001,BDT,2594835,998019,,1596816,,1/6/2010,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
MTB CENT CIVIL & SANITERY WORK,Fixture,Interior Decoration,Initial,,,,8/7/2010,8/7/2010,,001,001,001,BDT,1725340,829417,,895923,,8/7/2010,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
CARPET MTB CENTRE,Fixture,Interior Decoration,Initial,,,,21/6/2010,21/6/2010,,001,001,001,BDT,2594835,1003596,,1591239,,21/6/2010,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
CARPET MTB CENTRE,Fixture,Interior Decoration,Initial,,,,30/8/2010,30/8/2010,,001,001,001,BDT,2080000,820338,,1259662,,30/8/2010,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
INTERIOR WORK-MTB SQR3RD FLOOR,Fixture,Interior Decoration,Initial,,,,22/3/2017,22/3/2017,,001,001,001,BDT,268250,209710,,58540,,22/3/2017,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
ID-MTB CENTRE-GROUND FLOOR,Fixture,Interior Decoration,Initial,,,,8/12/2016,8/12/2016,,001,001,001,BDT,1322740,1002836,,319904,,8/12/2016,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
ID-MTB CENTRE(3RD&4TH FLOOR),Fixture,Interior Decoration,Initial,,,,27/3/2017,27/3/2017,,001,001,001,BDT,1075330,841905,,233425,,27/3/2017,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
ID-MTB TOWER(2ND FLOOR),Fixture,Interior Decoration,Initial,,,,16/6/2016,16/6/2016,,001,001,001,BDT,80000,57726,,22274,,16/6/2016,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
RENOVATION-MTB CENTRE 3RD FLOO,Fixture,Interior Decoration,Initial,,,,28/2/2016,28/2/2016,,001,001,001,BDT,296000,206839,,89161,,28/2/2016,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
MTB SQUARE-3RD FLOOR,Fixture,Interior Decoration,Initial,,,,4/7/2016,4/7/2016,,001,001,001,BDT,688740,499561,,189179,,4/7/2016,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
ID-MTB SQR-2ND FLOOR,Fixture,Interior Decoration,Initial,,,,25/7/2016,25/7/2016,,001,001,001,BDT,554200,404406,,149794,,25/7/2016,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
INTERIOR WORK,Fixture,Interior Decoration,Initial,,,,22/5/2016,22/5/2016,,001,001,001,BDT,56580,40529,,16051,,22/5/2016,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
INTERIOR WORK,Fixture,Interior Decoration,Initial,,,,22/5/2016,22/5/2016,,001,001,001,BDT,279600,200280,,79320,,22/5/2016,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
RENOVATION-4&5TH&TOP FL-MTB SQ,Fixture,Interior Decoration,Initial,,,,21/1/2016,21/1/2016,,001,001,001,BDT,731122,505089,,226033,,21/1/2016,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
INTERIOR WORK-RENOVATION,Fixture,Interior Decoration,Initial,,,,26/5/2016,26/5/2016,,001,001,001,BDT,129000,92514,,36486,,26/5/2016,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
INTERIOR WORK-RENOVATION,Fixture,Interior Decoration,Initial,,,,26/5/2016,26/5/2016,,001,001,001,BDT,316980,227325,,89655,,26/5/2016,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
INTERIOR WORK-RENOVATION,Fixture,Interior Decoration,Initial,,,,30/5/2016,30/5/2016,,001,001,001,BDT,420000,301568,,118432,,30/5/2016,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
ID-MTB TOWER-3RD FLOOR,Fixture,Interior Decoration,Initial,,,,20/6/2016,20/6/2016,,001,001,001,BDT,793050,572895,,220155,,20/6/2016,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
ID-MTB TOWER-4TH FLOOR,Fixture,Interior Decoration,Initial,,,,20/6/2016,20/6/2016,,001,001,001,BDT,637800,460748,,177052,,20/6/2016,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
ID-MTB CENTRE(2-6TH FLOOR),Fixture,Interior Decoration,Initial,,,,23/6/2016,23/6/2016,,001,001,001,BDT,170000,122920,,47080,,23/6/2016,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
ID-MTB CENTRE(5TH FLOOR),Fixture,Interior Decoration,Initial,,,,23/6/2016,23/6/2016,,001,001,001,BDT,430000,310906,,119094,,23/6/2016,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
MTB SQUARE CONSULTANCY,Fixture,Interior Decoration,Initial,,,,7/4/2015,7/4/2015,,001,001,001,BDT,1050000,667852,,382148,,7/4/2015,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
MTB CENTRE-2ND FLLOR RENOVATIO,Fixture,Interior Decoration,Initial,,,,10/6/2015,10/6/2015,,001,001,001,BDT,449335,291202,,158133,,10/6/2015,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
RENOVATION 1ST FLOOR,Fixture,Interior Decoration,Initial,,,,8/6/2015,8/6/2015,,001,001,001,BDT,269100,174294,,94806,,8/6/2015,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
MTB CENTRE 4TH PLOOR-RENOVATIO,Fixture,Interior Decoration,Initial,,,,18/6/2015,18/6/2015,,001,001,001,BDT,243370,158089,,85281,,18/6/2015,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
RENOVATION-2ND & 4TH FLOOR -MT,Fixture,Interior Decoration,Initial,,,,5/8/2015,5/8/2015,,001,001,001,BDT,168000,110639,,57361,,5/8/2015,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
RENOVATION-MTB CENTRE-5TH FLR,Fixture,Interior Decoration,Initial,,,,18/6/2015,18/6/2015,,001,001,001,BDT,297940,193543,,104397,,18/6/2015,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
RENOVATION-COLLECTION UNIT,Fixture,Interior Decoration,Initial,,,,7/5/2015,7/5/2015,,001,001,001,BDT,476800,305962,,170838,,7/5/2015,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
MTB SQUARE G FLOOR,Fixture,Interior Decoration,Initial,,,,31/12/2015,31/12/2015,,001,001,001,BDT,4216622,2052918,,2163704,,31/12/2015,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
RENOVATION-GROUND FLOOR,Fixture,Interior Decoration,Initial,,,,9/12/2015,9/12/2015,,001,001,001,BDT,116000,79141,,36859,,9/12/2015,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
ID RENOVATION-CENTRE 1ST FLOOR,Fixture,Interior Decoration,Initial,,,,14/6/2017,14/6/2017,,001,001,001,BDT,255215,204493,,50722,,14/6/2017,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
ID RENOVATION-CENTRE 5TH FLOOR,Fixture,Interior Decoration,Initial,,,,14/6/2017,14/6/2017,,001,001,001,BDT,299310,239828,,59482,,14/6/2017,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
ID-RENOVATION-CENTRE 3RD FLOOR,Fixture,Interior Decoration,Initial,,,,3/7/2017,3/7/2017,,001,001,001,BDT,211230,170185,,41045,,3/7/2017,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
INTERIOR WORKS-9TH&10TH FLOOR,Fixture,Interior Decoration,Initial,,,,11/10/2017,11/10/2017,,001,001,001,BDT,29527787,24475979,,5051808,,11/10/2017,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
ID-RENOVATOPN-CENTRE 5TH FLOOR,Fixture,Interior Decoration,Initial,,,,28/8/2017,28/8/2017,,001,001,001,BDT,139000,113801,,25199,,28/8/2017,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
ID-AUTO GLASS DOOR-MTB CENTRE,Fixture,Interior Decoration,Initial,,,,6/11/2017,6/11/2017,,001,001,001,BDT,590000,492625,,97375,,6/11/2017,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
ID-RENOVATION WORK-SQR-5TH FLO,Fixture,Interior Decoration,Initial,,,,10/12/2017,10/12/2017,,001,001,001,BDT,2109571,1778051,,331520,,10/12/2017,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
ID CONSULTANCY TOWER 9&10TH,Fixture,Interior Decoration,Initial,,,,1/11/2017,1/11/2017,,001,001,001,BDT,700000,583655,,116345,,1/11/2017,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
INTERIOR DECORATION&RENOVATION,Fixture,Interior Decoration,Initial,,,,20/11/2017,20/11/2017,,001,001,001,BDT,2782556,2332350,,450206,,20/11/2017,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
INTERIOR DECORATION WORK-SOQ,Fixture,Interior Decoration,Initial,,,,17/3/2018,17/3/2018,,001,001,001,BDT,1721516,1493140,,228376,,17/3/2018,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
RENOVATION WORK-MTB SQR,Fixture,Interior Decoration,Initial,,,,11/6/2018,11/6/2018,,001,001,001,BDT,1253650,1115163,,138487,,11/6/2018,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
ID-RENOVATION WORK-SQR LEVEL 3,Fixture,Interior Decoration,Initial,,,,12/8/2018,12/8/2018,,001,001,001,BDT,163800,148329,,15471,,12/8/2018,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
ID-24/12 PALLABI-MIRPUR ATM,Fixture,Interior Decoration (ATM),Initial,,,,23/5/2017,23/5/2017,,001,001,001,BDT,431752,366006,,65746,,23/5/2017,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
ID-ASMOT ALI KHAN PSC-MADARIPU,Fixture,Interior Decoration (ATM),Initial,,,,12/10/2017,12/10/2017,,001,001,001,BDT,316919,268661,,48258,,12/10/2017,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
ID-JOYPURHAT BR-HABIB MANSION,Fixture,Interior Decoration (ATM),Initial,,,,3/1/2018,3/1/2018,,001,001,001,BDT,517252,438892,,78360,,3/1/2018,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
ID-JAWAD TOWER-MIRPUR-ATM,Fixture,Interior Decoration (ATM),Initial,,,,2/11/2017,2/11/2017,,001,001,001,BDT,456601,387072,,69529,,2/11/2017,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
ID-MORICHA BAZAR-UKHIYA ATM,Fixture,Interior Decoration (ATM),Initial,,,,5/2/2018,5/2/2018,,001,001,001,BDT,366926,314464,,52462,,5/2/2018,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
ID-MONOHORPUR-COMILLA ATM BOOT,Fixture,Interior Decoration (ATM),Initial,,,,15/12/2017,15/12/2017,,001,001,001,BDT,364137,308687,,55450,,15/12/2017,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
ID-MAINAMOTI MCH-ATM BOOTH,Fixture,Interior Decoration (ATM),Initial,,,,8/1/2017,8/1/2017,,001,001,001,BDT,740000,509877,,230123,,8/1/2017,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
ID-SYLHET STATION CLUB ATM,Fixture,Interior Decoration (ATM),Initial,,,,8/1/2017,8/1/2017,,001,001,001,BDT,874699,596450,,278249,,8/1/2017,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
ID-BASHINDHARA BR ATM BOOTH,Fixture,Interior Decoration (ATM),Initial,,,,11/4/2017,11/4/2017,,001,001,001,BDT,1008605,754856,,253749,,11/4/2017,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
ID-KHULNA BR ATM BOOTH,Fixture,Interior Decoration (ATM),Initial,,,,16/11/2014,16/11/2014,,001,001,001,BDT,792985,483868,,309117,,16/11/2014,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
"LAXMIPUR, RAJAPARA-RAJSHAHI-AT",Fixture,Interior Decoration (ATM),Initial,,,,11/11/2017,11/11/2017,,001,001,001,BDT,399316,338515,,60801,,11/11/2017,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
