Name,Asset Type Name,Code,Journal,Asset Account,Asset Awaiting Allocation,Depreciation Exp. A/C,Accumulated Depreciation A/C,Asset Loss A/C,Asset Gain A/C,Asset Awaiting Disposal,Asset Life (In Year),One Entry (In Month),Computation Method,Degressive Factor,is_custom_depr,Active,Pending,State
Television,Electric Equipment,2025,Vendor Bill,11201001,11205001,11203003,11201001,11202001,11204001,11204001,1,1,Reducing Method,0.025,True,TRUE,FALSE,approve
Stabilazer,Electric Equipment,2026,Vendor Bill,11201001,11205001,11203003,11201001,11202001,11204001,11204001,1,1,Reducing Method,0.025,True,TRUE,FALSE,approve
ATM AirConditioner,Electric Equipment,2027,Vendor Bill,11201001,11205001,11203003,11201001,11202001,11204001,11204001,1,1,Reducing Method,0.025,True,TRUE,FALSE,approve
KIOSK AirConditioner,Electric Equipment,2028,Vendor Bill,11201001,11205001,11203003,11201001,11202001,11204001,11204001,1,1,Reducing Method,0.025,True,TRUE,FALSE,approve
UPS,Office Equipment,2029,Vendor Bill,11201001,11205001,11203003,11201001,11202001,11204001,11204001,1,1,Reducing Method,0.025,True,TRUE,FALSE,approve
Printer,Office Equipment,2030,Vendor Bill,11201001,11205001,11203003,11201001,11202001,11204001,11204001,1,1,Reducing Method,0.025,True,TRUE,FALSE,approve
Scaner,Office Equipment,2031,Vendor Bill,11201001,11205001,11203003,11201001,11202001,11204001,11204001,1,1,Reducing Method,0.025,True,TRUE,FALSE,approve
Networking,Office Equipment,2032,Vendor Bill,11201001,11205001,11203003,11201001,11202001,11204001,11204001,1,1,Reducing Method,0.025,True,TRUE,FALSE,approve
Telephone,Office Equipment,2033,Vendor Bill,11201001,11205001,11203003,11201001,11202001,11204001,11204001,1,1,Reducing Method,0.025,True,TRUE,FALSE,approve
Mobile Phone,Office Equipment,2034,Vendor Bill,11201001,11205001,11203003,11201001,11202001,11204001,11204001,2,1,Straight Line/Linear,0.025,True,TRUE,FALSE,approve
ATM Machine,Office Equipment,2035,Vendor Bill,11201001,11205001,11203003,11201001,11202001,11204001,11204001,1,1,Reducing Method,0.025,True,TRUE,FALSE,approve
KIOSK Equipment,Office Equipment,2036,Vendor Bill,11201001,11205001,11203003,11201001,11202001,11204001,11204001,1,1,Reducing Method,0.025,True,TRUE,FALSE,approve
KIOSK Deposit Machine,Office Equipment,2037,Vendor Bill,11201001,11205001,11203003,11201001,11202001,11204001,11204001,1,1,Reducing Method,0.025,True,TRUE,FALSE,approve
ATM Electrical Equipment,Office Equipment,2038,Vendor Bill,11201001,11205001,11203003,11201001,11202001,11204001,11204001,1,1,Reducing Method,0.025,True,TRUE,FALSE,approve
ATM UPS,Office Equipment,2039,Vendor Bill,11201001,11205001,11203003,11201001,11202001,11204001,11204001,1,1,Reducing Method,0.025,True,TRUE,FALSE,approve
ATM Networking,Office Equipment,2040,Vendor Bill,11201001,11205001,11203003,11201001,11202001,11204001,11204001,1,1,Reducing Method,0.025,True,TRUE,FALSE,approve
Software,Intangible Asset,2041,Vendor Bill,11201001,11205001,11203003,11201001,11202001,11204001,11204001,1,1,Reducing Method,0.025,True,TRUE,FALSE,approve
Motor Vehicle,Motor Vehicles,2042,Vendor Bill,11201001,11205001,11203003,11201001,11202001,11204001,11204001,5,1,Straight Line/Linear,0.025,True,TRUE,FALSE,approve
Motor Cycle,Motor Vehicles,2043,Vendor Bill,11201001,11205001,11203003,11201001,11202001,11204001,11204001,5,1,Straight Line/Linear,0.025,True,TRUE,FALSE,approve
POS Machine,Office Equipment,2044,Vendor Bill,11201001,11205001,11203003,11201001,11202001,11204001,11204001,1,1,Reducing Method,0.025,True,TRUE,FALSE,approve
