Parent Account,Code,Name,Type
Sundry Deposits,13105008,Exchange House Coop Fund,General
Sundry Deposits,13105009,MasterCard Local Prepaid,General
Sundry Deposits,13105010,Prepaid Gift Card,General
Sundry Deposits,13105011,Prepaid International Card,General
Sundry Deposits,13105012,Online Clearing Adjustment,General
Sundry Deposits,13105013,Risk Fund (Auto Loan),General
Sundry Deposits,13105014,Stamp Charge Recovery,General
Sundry Deposits,13105015,Retail CIB Charge Recover for BB,General
Sundry Deposits,13105016,Retail Notarization Charge Recovery,General
Sundry Deposits,13105017,Central Fund (RMG Sector),General
Sundry Deposits,13105018,Risk Fund (Card),General
Sundry Deposits,13105019,Credit Report Charges Payable,General
Sundry Deposits,13105020,Online GL Transaction,General
Sundry Deposits,13105022,Online Transfer DD Amount,General
Sundry Deposits,13105023,Clearing House Payable,General
Sundry Deposits,13105024,Risk Fund (Small Business Loan),General
Sundry Deposits,13105025,Risk Fund (House Repair/Renovation Loan),General
Sundry Deposits,13105026,Lease Deposit,General
Sundry Deposits,13105027,P. Fund Loan Instalment,General
Sundry Deposits,13105028,Foreign Bank Adjustment A/c,General
Sundry Deposits,13105029,SWIFT Charges,General
Sundry Deposits,13105030,Margin on L/C (Others),General
Sundry Deposits,13105031,Margin on L/G (Inland),General
Sundry Deposits,13105032,Margin on L/G (Foreign),General
Sundry Deposits,13105033,Risk Fund (Lease Finance),General
Sundry Deposits,13105034,AIT <Advance Income Tax> Payable Account,General
Sundry Deposits,13105035,Fund Build up Aganist Export Bill,General
Sundry Deposits,13105036,Sundry Creditors,General
Sundry Deposits,13105037,Security Deposit,General
Sundry Deposits,13105038,Margin on L/C (Cash),General
Sundry Deposits,13105039,Margin on IBP/FDBP,General
Sundry Deposits,13105040,LDBC,General
Sundry Deposits,13105041,Duty Draw Back,General
Sundry Deposits,13105042,Cash Incentive (Traditional),General
Sundry Deposits,13105043,Cash Incentive (Non Traditional),General
Sundry Deposits,13105044,OBC Outward Bill Collection,General
Sundry Deposits,13105045,Advance Lease Rental,General
Sundry Deposits,13105047,Risk Fund (CCS),General
Sundry Deposits,13105048,OBC Outward Cheque Collection,General
Sundry Deposits,13105049,Transfer Delivery,General
Sundry Deposits,13105021,FCC/ FCP <parking account>,General
Sundry Deposits <FC>,13106001,MTB Buniad,General
Term Deposits,13201001,NRB Fixed Deposit,General
Term Deposits,13201002,Term Deposit General,General
Term Deposits,13201003,Term Deposit Monthly Benefit Plan,General
Term Deposits,13201004,RTD MTB Buniad,General
Term Deposits Reinvestments,13202001,Reinvestment Term Deposits General,General
Term Deposits Reinvestments,13202002,RTD Double Benefit Scheme,General
Term Deposits Reinvestments,13202003,RTD NRB,General
Term Deposits Reinvestments,13202004,RD Brick-by-Brick,General
Recurring Deposit,13203001,RD MTB Educational Plan,General
Recurring Deposit,13203002,RD Kotipati,General
Recurring Deposit,13203004,RD Millionnaire Plan,General
Recurring Deposit,13203005,NFCD USD,General
Special Notice Deposit,13205001,MTB Ankur,General
Savings Bank Account,13206001,MTB Staff,General
Savings Bank Account,13206012,MTB Payroll Premium,General
Savings Bank Account,13206013,MTB Payroll eSavers,General
Savings Bank Account,13206014,MTB Payroll Saver,General
Savings Bank Account,13206015,MTB Ruby,General
Savings Bank Account,13206002,MTB Graduate,General
Savings Bank Account,13206003,MTB Junior,General
Savings Bank Account,13206004,MTB Privilege Saving,General
Savings Bank Account,13206005,NRB Savings Account,General
Savings Bank Account,13206006,MTB Senior,General
Savings Bank Account,13206007,MTB Inspire,General
Savings Bank Account,13206008,MTB Shanchay,General
Savings Bank Account,13206009,MTB Care,General
Savings Bank Account,13206010,Regular Savings  Deposit,General
Savings Bank Account,13206011,SBResident Foreign Currency USD,General
Savings Bank Account <FC>,13207001,SB Personal Foreign Currency Account USD,General
Current Deposits from NBFI,13302001,Bank Deposits -FD  <BDT>,General
Bank Deposits -FD ,13401001,Bank Deposits -FD  <USD>,General
Bank Deposits -FD ,13401002,Bank Deposits -FD  <EUR>,General
Bank Deposits -FD ,13401003,Bank Deposits -FD  <GBP>,General
Bank Deposits -FD ,13401004,NBFI Deposits -FD ,General
Interest Payable on Current Deposits,13501001,IP MTB Ankur,General
Interest Payable on TD Accounts,13601001,IP MTB Ruby,General
Interest Payable on TD Accounts,13601002,IP MTB Graduate,General
Interest Payable on TD Accounts,13601003,IP MTB Junior,General
Interest Payable on TD Accounts,13601004,IP MTB Privilege Saving,General
Interest Payable on Savings Bank Accounts,13602001,IP MTB Senior,General
Interest Payable on Savings Bank Accounts,13602002,IP on MTB Inspire,General
Interest Payable on Savings Bank Accounts,13602003,IP on MTB Shanchay,General
Interest Payable on Savings Bank Accounts,13602004,IP on MTB Care,General
Interest Payable on Savings Bank Accounts,13602005,IP on Regular Savings  Deposit,General
Interest Payable on Savings Bank Accounts,13602006,Interest payable on RD Brick-by-Brick,General
Interest Payable on Savings Bank Accounts,13602007,Interest payable on RD MTB Educational Plan,General
Interest Payable on Savings Bank Accounts,13602008,Interest payable on RD Kotipati,General
Interest Payable on Savings Bank Accounts,13602009,Interest payable on RD Millionnaire Plan,General
Interest Payable on Savings Bank Accounts,13602010,Interest payable on RD NRB,General
Interest payable on Recurring Deposit,13603001,Interest Payable on NFCD USD,General
Interest payable on Recurring Deposit,13603002,IP RTD Double Benefit Scheme,General
Interest payable on Recurring Deposit,13603003,IP Reinvestment Term Deposits General,General
Interest payable on Recurring Deposit,13603004,IP RTD MTB Buniad,General
Interest payable on Recurring Deposit,13603006,P O Issued,General
Interest Payable on Special Notice Deposits,13604001,PO Payable pending printing,General
Interest Payable on Term Deposits FC,13605001,P.S. Issued,General
Interest Payable on Savings Bank Accounts FC,13606001,DD Payable pending printing,General
Interest Payable on Savings Bank Accounts FC,13606002,DD Issued,General
Interest payable on Term Deposits Reinvestments,13607001,T.T. Payable,General
Interest payable on Term Deposits Reinvestments,13607002,M.T. Payable,General
Interest payable on Term Deposits Reinvestments,13607003,xxxxx,General
Interest Payable on NBFI Deposits,13702001,Interest Payable on Subordinated Bond,General
Bills Payable,13801007,Interest Suspenses Account Sub-Standard,General
Bills Payable,13801003,Interest Suspenses Account Doubtful,General
Bills Payable,13801004,Interest Suspenses Account Bad & Loss,General
Other Bond,14201001, Liabilities under Finance Lease,General
Clearing House Adjustment,15201001,Employees' Death Benefit  Fund,General
Deferred Tax Liability,15207001,Transit A/c- Reverase Repo,General
Staff Fund,15208002,VAT on Income,General
Staff Fund,15208003,VAT on Expenditure,General
Staff Fund,15208004,Excise Duty,General
Contribution to MTB Foundation,15209001,Source Tax on Revenue Expenses,General
Repo Interest Income Account,15210001,Source Tax on Interest on Deposits,General
Exchange Equalization Fund,15211001,"Source Tax on SWIFT, Reuters & VISA Bill <Outward remittance>",General
Advance Intt. on Treasury Bill,15212001,Source Tax on misc income of customers,General
NOSTRO A/c Adjustment,15213001,Insurance Premium (BDT),General
Revaluation Gain on HFT Securities,15215001,Dispute Account - ATM,General
VAT payable,15216001,Dispute Account - POS,General
VAT payable,15216002,Marchant Payable A/c,General
Excise Duty payable,15217001,Card Tran. Fees Receive (VISA),General
Source Tax <TDS> payable,15218001,VISA Prepaid International (USD),General
Source Tax <TDS> payable,15218002,NPSB  OFF-US ATM,General
Source Tax <TDS> payable,15218003,Transaction Fee (NPSB) Debit Card,General
Source Tax <TDS> payable,15218004,Agent Banking Utility Bill Payable,General
Card Settlement Account,15219001,Agent Banking Utility Bill Commision Payable,General
Card Settlement Account,15219002,Agent Banking Float Sharing Commision Payable,General
Card Settlement Account,15219003,Agent Banking Loan Reletionship Fee Payable,General
Card Settlement Account,15219004,Agent Banking Cheque Book Fee Comm. Payable,General
Card Settlement Account,15219005,Agent Banking Transaction Commision Payable,General
Card Settlement Account,15219006,Agent Banking Remittance Commision Payable,General
Card Settlement Account <FC>,15220001,Agent Banking Debit Card Fee Commision Payable,General
Agent Banking,15222002,Provision for Unclassified Loans & Advance,General
Agent Banking,15222003,Provision for Classified Loans & Advance,General
Agent Banking,15222004,Provision for Off-balance sheet Items,General
Agent Banking,15222005,General Provision ,General
Agent Banking,15222006,Provision agt. Investment in Securities,General
Agent Banking,15222007,Provision for Other Asset,General
Agent Banking,15222008,MTB General Account,General
Bonus Payable,15224001,Cash with Vault,General
Provision for Advances,15301002,Cash with ATM ,General
Provision for Advances,15301004,Cash with Vault <USD>,General
Provision for Investments,15302001,Cash with Vault <GBP>,General
Provision for others,15303001,Cash with Chief Cashier <GBP>,General
Branch Accounts,16101001,Cash with Teller <GBP>,General
Income for the period fm 1 Jan to lwd,17101001,Cash with Vault <JPY>,General
Cash in Hand <BDT>,21101001,Cash with Chief Cashier <JPY>,General
Cash in Transit,21102001,Cash with Vault <EUR>,General
Cash with Service Provider,21103001,Cash with Teller 1 <EUR>,General
Cash with ATM,21104001,Cash in Transit <GBP>,General
Cash in Booth,21105001,Cash in Transit <USD>,General
Cash in Hand <FC>,21106001,Cash in Transit <EUR>,General
Cash in Hand <FC>,21106004,Cash in Transit <JPY>,General
Cash in Hand <FC>,21106006,Bangladesh Bank- RTGS Settlement A/c,General
Cash in Hand <FC>,21106007,Bangladesh Bank FC Clearing A/c (EUR),General
Cash in Hand <FC>,21106008,Bangladesh Bank FC Clearing A/c (USD),General
Cash in Hand <FC>,21106010,Bangladesh Bank FC Clearing A/c Other,General
Cash in Hand <FC>,21106012,Bangladesh Bank FC Clearing A/c (GBP),General
Cash in Transit <FC>,21107001,Bangladesh Bank FC Clearing A/c (JPY),General
Cash in Transit <FC>,21107002,Bangladesh Bank FC Clearing A/c (DAD-USD),General
Cash in Transit <FC>,21107003,Bangladesh Bank FC Clearing A/c (DAD-EUR),General
Cash in Transit <FC>,21107004,Bangladesh Bank FC Clearing A/c (DAD-GBP),General
Balance with BB <LCY>,21201001,Bangladesh Bank RTGS Settlement A/c (USD),General
Balance with BB <LCY>,21201002,Bangladesh Bank RTGS Settlement A/c (GBP),General
Balance with BB  <FCY>,21202001,Bangladesh Bank RTGS Settlement A/c (EUR),General
Balance with BB  <FCY>,21202002,Balance with Sonali Bank,General
Balance with BB  <FCY>,21202003,Balance with other Banks,General
Balance with BB  <FCY>,21202004,Balance with Mobile Wallet,General
Balance with BB  <FCY>,21202005,Balance with Other Banks in FC,General
Balance with BB  <FCY>,21202021,Foreign Banks Nostro (USD),General
Balance with BB  <FCY>,21202022,Foreign Banks Nostro (ACU),General
Balance with BB  <FCY>,21202023,Foreign Banks Nostro (EUR),General
Balance with BB  <FCY>,21202041,Foreign Banks Nostro (GBP),General
Balance with BB  <FCY>,21202042,Foreign Banks Nostro (JPY),General
Balance with BB  <FCY>,21202043,Foreign Banks Nostro (SGD),General
Balance with Agent Bank <BDT>,21301001,Foreign Banks Nostro (CHF),General
Other Banks & FIs in Bangladesh,21401001,Foreign Banks Nostro(ACU-USD),General
Other Banks & FIs in Bangladesh,21401002,Foreign Banks Nostro (ACU-EUR),General
Other Banks & FIs in Bangladesh <FC>,21402001,Foreign Banks Nostro (AED),General
Other Banks & FIs outside Bangladesh <FC>,21403001,Foreign Banks Nostro (QAR),General
Other Banks & FIs outside Bangladesh <FC>,21403002,Interest receivable on Balance with Other Banks,General
Other Banks & FIs outside Bangladesh <FC>,21403003,NOSTRO for OBU,General
Other Banks & FIs outside Bangladesh <FC>,21403004,Call Money ,General
Other Banks & FIs outside Bangladesh <FC>,21403005,Call Money USD,General
Other Banks & FIs outside Bangladesh <FC>,21403007,Interest Receivable on Call Money <USD>,General
Other Banks & FIs outside Bangladesh <FC>,21403008,Stock of Prize Bonds,General
Other Banks & FIs outside Bangladesh <FC>,21403009,Govt. Securities (Encumbered),General
Other Banks & FIs outside Bangladesh <FC>,21403010,Bangladesh Bank Bill,General
Other Banks & FIs outside Bangladesh <FC>,21403011,Repo Interest Adjustment,General
Interest Receivable FC,21404001,Treasury Bills Held for Trading (HFT) Reverse Repo,General
Interest Receivable BDT,21405001,Treasury Bills Held for Trading (HFT),General
OBU other Banks & FI <FC>,21406001,Treasury Bills Held to Maturity (HTM) Reverse Repo,General
Call Money <BDT>,22101001,Treasury Bills Held to Maturity (HTM),General
Call Money <FC>,22102001,Govt. Securities T Bill  (Encumbered),General
Interest Receivable on Call Money <BDT>,22103001,Treasury Bond (HTM) Reverse Repo,General
Interest Receivable on Call Money <FC>,22104001,Treasury Bond Held for Trading (HFT) Reverse Repo,General
Securities other than Tbill Tbond,23101001,Treasury Bond Held to Maturity (HTM),General
Securities other than Tbill Tbond,23101002,Remeasured HTM,General
Securities other than Tbill Tbond,23101003,Interest Receivables on Treasury Bond,General
Securities other than Tbill Tbond,23101004,Treasury Bond Held for Trading (HFT),General
Treasury Bills ,23103001,<Private> Equity Investments,General
Treasury Bills ,23103002,<Private> Investments in Debenture,General
Treasury Bills ,23103003,<Private> Investments in Bonds <Corp>,General
Treasury Bills ,23103004,<Private> Investments in Bonds <Sub-ordinated>,General
Treasury Bills ,23103005,<public> Proprietary Investment Portfolio,General
T Bond,23104001,Investment under Managed Portfolio,General
T Bond,23104002,Investment in Mutual Fund <pvt placement> Open ended,General
T Bond,23104003,Investment in Mutual Fund <pvt placement> Closed ended,General
T Bond,23104004,Investment in Preference Share,General
T Bond,23104005,Investment in Zero Coupon Bond <Corporate>,General
T Bond,23104006,Investment in Commercial Paper,General
Other Investments,23201001,Interest Receivable on Investment  in Commercial Paper,General
Other Investments,23201002,IR in <Private> Investments in Debenture,General
Other Investments,23201003,IR in <Private> Investments in Bonds <Corp>,General
Other Investments,23201004,IR in <Private> Investments in Bonds <Sub-ordinated>,General
Other Investments,23201005,Investment in Subsidiaries MTB SL,General
Other Investments,23201006,Investment in Subsidiaries MTB CL,General
Other Investments,23201007,Investment in Subsidiaries MTB EX UK,General
Other Investments,23201008,MTB Auto Loan,General
Other Investments,23201009,MTB Home Loan,General
Other Investments,23201010,MTB Home Equity Loan,General
Other Investments,23201011,MTB NRB Home Loan,General
Other Investments,23201012,MTB Neer,General
Other Investments,23201013,MTB Personal Loan,General
Other Investments,23201014,MTB Professional Loan,General
Other Investments,23201015,Consumer Financing,General
Investment in Subsidiaries,23301001,Car Loan (Employee),General
Investment in Subsidiaries,23301002,Employees House Building Loan,General
Investment in Subsidiaries,23301003,Staff Loan Aganist Prov. Fund,General
Retail Term Loans <excl. Staff Loans>,24101001,House Building Loan <Developer>,General
Retail Term Loans <excl. Staff Loans>,24101002,Lease Finance (Monthly),General
Retail Term Loans <excl. Staff Loans>,24101003,Lease Finance (Quarterly),General
Retail Term Loans <excl. Staff Loans>,24101004,House Building Loan <Commercial>,General
Retail Term Loans <excl. Staff Loans>,24101005,Term Loan Non-Industrial,General
Retail Term Loans <excl. Staff Loans>,24101006,Term Loan Industrial,General
Retail Term Loans <excl. Staff Loans>,24101007,House Building Loan <Residential>,General
Retail Term Loans <excl. Staff Loans>,24101008,MTB Digoon,General
Retail Term Loans <Staff>,24102001,Small Business Loan Scheme,General
Retail Term Loans <Staff>,24102002,2403-0300  MTB Life Line,General
Retail Term Loans <Staff>,24102003,2403-0400  MTB Krishi,General
Corporate & SME Term Loan,24103001,MTB Bhagyaboti <Re-finance>,General
Corporate & SME Term Loan,24103002,MTB Gunaboti <Pre-finance>,General
Corporate & SME Term Loan,24103004,2403-0800 MTB Green Energy,General
Corporate & SME Term Loan,24103005,2403-0900 MTB IT Geniuos,General
Corporate & SME Term Loan,24103006,2403-1000 MTB Krishijat,General
Corporate & SME Term Loan,24103007,2403-1100 MTB Light Engineering,General
SME Term Loan excl Agri & Micro Fin.,24104001,2403-1200 MTB Mousumi,General
SME Term Loan excl Agri & Micro Fin.,24104002,2403-1300 MTB Youth Line,General
SME Term Loan excl Agri & Micro Fin.,24104003,MTB Inclusive Finance,General
SME Term Loan excl Agri & Micro Fin.,24104004,Microfinance <Agri-TL>,General
SME Term Loan excl Agri & Micro Fin.,24104005,Microfinance <Micro-TL>,General
SME Term Loan excl Agri & Micro Fin.,24104006,Demand Loan General,General
SME Term Loan excl Agri & Micro Fin.,24104007,Demand Loan Forced,General
SME Term Loan excl Agri & Micro Fin.,24104008,Demand Loan Short Term,General
SME Term Loan excl Agri & Micro Fin.,24104009,Demand Loan Time,General
SME Term Loan excl Agri & Micro Fin.,24104010,Payment Aganist Document,General
SME Term Loan excl Agri & Micro Fin.,24104011,Payment Against Document (B-to-B),General
SME Term Loan excl Agri & Micro Fin.,24104012,Inland Doc. Bill Purchased <Sight>,General
SME Term Loan excl Agri & Micro Fin.,24104013,Inland Doc. Bill Discounted <Usance> Cust Risk,General
SME Term Loan excl Agri & Micro Fin.,24104014,Inland Doc. Bill Discounted <Usance> Bank Risk,General
SME Term Loan <Agri Fin.>,24105001,Foreign D.B Purchased <Sight>,General
Corporate & SME Demand Loan,24201001,Foreign D.B Discounted <Usance> Bank Risk,General
Corporate & SME Demand Loan,24201002,Loan Against Trust Receipt ,General
Corporate & SME Demand Loan,24201003,Advance Against Cash Incentive ,General
Corporate & SME Demand Loan,24201004,Cash Aganist Document DL,General
Corporate & SME Demand Loan,24201005,Demand Loan Garments <SOD>,General
Corporate & SME Demand Loan,24201006,Packing Credit,General
Corporate & SME Demand Loan,24201007,EDF Loan,General
Corporate & SME Demand Loan,24201008,Demand Loans against Rural Credit,General
Corporate & SME Demand Loan,24201009,Foreign Cheque Purchased,General
Corporate & SME Demand Loan,24201010,Inland Cheque Purchased,General
Corporate & SME Demand Loan,24201011,Secured Overdraft against Bank's own TD,General
Corporate & SME Demand Loan,24201012,Secured Overdraft against other Bank's TD,General
Corporate & SME Demand Loan,24201013,Secured Overdraft against Shares etc.,General
Corporate & SME Demand Loan,24201014,Corp Cash Credit Hypo,General
Corporate & SME Demand Loan,24201015,SOD (Shares & Debentures) C & S,General
Corporate & SME Demand Loan,24201016,SOD (FO) WBD C & S,General
Corporate & SME Demand Loan,24201017,Secured Overdraft Work/ Supply Order C & S,General
Corporate & SME Demand Loan <FC>,24202001,Secured Overdraft Pay Order C & S,General
SME Demand Loan,24203001,Secured Overdraft Real Estate C & CS,General
Misc Demand Loans <C/S/R>,24204001,Secured Overdraft Business C & CS,General
Misc Demand Loans <C/S/R>,24204002,Secured Overdraft Garments C & CS,General
Retail Continuous Loans,24301001,Export Cash Credit C & CS,General
Retail Continuous Loans,24301002,SOD (Others),General
Retail Continuous Loans,24301003,MTB SME Cash Credit Hypo,General
Corporate & SME Continuous Loan,24302001,MTB Revolving Loan,General
Corporate & SME Continuous Loan,24302002,MTB Microfinance Agri Revolving Loan,General
Corporate & SME Continuous Loan,24302003,MTB Microfinance enterprise Revolving Loan,General
Corporate & SME Continuous Loan,24302004,MTB Light Engineering Revolving Loan,General
Corporate & SME Continuous Loan,24302005,MTB IT Genious Revolving Loan,General
Corporate & SME Continuous Loan,24302006,MTB Krishijat Revolving Loan,General
Corporate & SME Continuous Loan,24302007,Credit Card Loans,General
Corporate & SME Continuous Loan,24302008,IR on MTB Auto Loan,General
Corporate & SME Continuous Loan,24302009,IR on MTB Home Loan,General
Corporate & SME Continuous Loan,24302010,IR on MTB Home Equity Loan,General
SME Continuous Loan,24303001,IR on MTB NRB Home Loan,General
SME Continuous Loan,24303002,IR on MTB Neer,General
SME Continuous Loan,24303003,IR on MTB Personal Loan,General
SME Continuous Loan,24303004,IR on MTB Professional Loan,General
SME Continuous Loan,24303005,IR on Consumer Financing,General
SME Continuous Loan,24303006,IR on Car Loan (Employee),General
SME Continuous Loan,24303007,IR on Employees House Building Loan,General
Credit Cards,24401001,IR on Staff Loan Aganist Prov. Fund,General
Interest Receivable on RTL,24601001,Lease Finance (Monthly) Rental receivables,General
Interest Receivable on RTL,24601002,Lease Finance (Quarterly) Rental receivables,General
Interest Receivable on RTL,24601003,IR on House Building Loan <Developer>,General
Interest Receivable on RTL,24601004,IR on House Building Loan <Commercial>,General
Interest Receivable on RTL,24601005,IR on Term Loan Non-Industrial,General
Interest Receivable on RTL,24601006,IR on Term Loan Industrial,General
Interest Receivable on RTL,24601007,IR on MTB Digoon,General
Interest Receivable on RTL,24601008,IR on Small Business Loan Scheme,General
Interest Receivable on Staff Loans,24602001,IR on  MTB Life Line,General
Interest Receivable on Staff Loans,24602002,IR on  MTB Krishi,General
Interest Receivable on Staff Loans,24602003,IR on MTB Inclusive Finance,General
IR on Corporate Term Loan,24603001,IR on MTB Bhagyaboti <Re-finance>,General
IR on Corporate Term Loan,24603002,IR on MTB Gunaboti <Pre-finance>,General
IR on Corporate Term Loan,24603003,IR on MTB Green Energy,General
IR on Corporate Term Loan,24603004,IR on MTB IT Geniuos,General
IR on Corporate Term Loan,24603005,IR on MTB Krishijat,General
IR on Corporate Term Loan,24603006,IR on MTB Light Engineering,General
IR on SME Term Loan excl Agri & MF,24604001,IR on  MTB Mousumi,General
IR on SME Term Loan excl Agri & MF,24604002,IR on MTB Youth Line,General
IR on SME Term Loan excl Agri & MF,24604003,IR on Microfinance <Agri&Micro-TL>,General
IR on SME Term Loan excl Agri & MF,24604004,IR on Microfinance (Enterprise-TL),General
IR on SME Term Loan excl Agri & MF,24604005,IR on Demand Loan General,General
IR on SME Term Loan excl Agri & MF,24604006,IR on Demand Loan Forced,General
IR on SME Term Loan excl Agri & MF,24604007,IR on Demand Loan Short Term,General
IR on SME Term Loan excl Agri & MF,24604008,IR on Demand Loan Time,General
IR on SME Term Loan excl Agri & MF,24604009,IR on Payment Aganist Document,General
IR on SME Term Loan excl Agri & MF,24604010,IR on Payment Against Document (B-to-B),General
IR on SME Term Loan excl Agri & MF,24604011,IR on Inland Doc. Bill Purchased <Sight>,General
IR on SME Term Loan excl Agri & MF,24604012,IR on Inland Doc. Bill Discounted <Usance> Cust Risk,General
IR on SME Term Loan excl Agri & MF,24604013,IR on Inland Doc. Bill Discounted <Usance> Bank Risk,General
IR on SME Term Loan <Agri & MF>,24605001,IR on Foreign D.B Purchased <Sight>,General
IR on SME Term Loan <Agri & MF>,24605002,IR on Foreign D.B Discounted <Usance> Cust Risk,General
IR on Corporate & SME Demand Loan,24606001,IR on Foreign D.B Discounted <Usance> Bank Risk,General
IR on Corporate & SME Demand Loan,24606002,IR on Loan Against Trust Receipt ,General
IR on Corporate & SME Demand Loan,24606003,IR on Cash Aganist Document DL,General
IR on Corporate & SME Demand Loan,24606004,IR on Demand Loan Garments,General
IR on Corporate & SME Demand Loan,24606005,IR on Packing Credit,General
IR on Corporate & SME Demand Loan,24606006,IR on Advance Against Cash Incentive ,General
IR on Corporate & SME Demand Loan,24606007,IR on EDF Loan <USD>,General
IR on Corporate & SME Demand Loan,24606008,IR on Demand Loans against Rural Credit,General
