Layer,Code,Name,Parent Account,Type,Allow Reconciliation,Active,Pending,Status
Layer 5,13101002,MTB Probaho,13101,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13101003,Current CMS,13101,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13101004,NON RESIDENT INVESTORS TAKA ACCOUNT (NITA),13101,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13101005,Non-Resident Taka Account (NRTA),13101,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13101006,CA Convertible Taka Account,13101,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
,,,,,,,,
Layer 5,13102001,CA EXPORTER'S RETENTION QUOTA (ERQ) ACCOUNT-USD,13102,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13102002,CA EXPORTER'S RETENTION QUOTA (ERQ) ACCOUNT-GBP,13102,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13102003,CA EXPORTER'S RETENTION QUOTA (ERQ) ACCOUNT-EUR,13102,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13102011,CA FC FOR THE EPZ COMPANIES (FCEPZ)_USD,13102,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13102021,CA FC for DIPLOMATIC BONDED WAREHOUSE(DBW) & DUTY FREE SHOP (DFS) ACCOUNT_USD,13102,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13102031,CA FCDAD USD,13102,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13102032,CA FCDAD GBP,13102,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13102033,CA FCDAD EUR,13102,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13102041,CA FC OTHERS (IPO/SHIPBUILDERS/CARRIER)_USD,13102,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13102071,CA FC <Special> USD,13102,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13102072,CA FC <Special> GBP,13102,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13102073,CA FC <Special> EUR,13102,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13102051,CA FC Economic Zone,13102,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13102061,CA FC USD (including DFC),13102,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13102062,CA FC GBP (including DFC),13102,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13102063,CA FC EUR (including DFC),13102,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13102064,CA FC AED (including DFC),13102,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13102066,CA FC CAD (including DFC),13102,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13102067,CA FC JPY (including DFC),13102,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13102065,CA FC QAR (including DFC),13102,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13102091,CA (for OBU Clients) USD,13102,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13103001,Credit Balance IN OD/CC Accounts,13103,No BGL only CGL,,TRUE,FALSE,Approved
Layer 5,13104001,FBPAR USD,13104,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,13104002,Sundry Deposit USD <OBU>,13104,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,13104101,Clearing House Payable USD,13104,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,13104102,Clearing House Payable GBP,13104,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,13104103,Clearing House Payable EUR,13104,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,13104104,Clearing House Payable JPY,13104,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,13104105,Clearing House Payable (CAD),13104,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,13104201,BEFTN Transaction USD,13104,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,13104202,BEFTN Transaction GBP,13104,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,13104203,BEFTN Transaction EUR,13104,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,13104204,BEFTN Transaction JPY,13104,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,13104205,BEFTN Transaction CAD,13104,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,13105001,RTGS Adjusting Account,13105,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,13105002,RTGS FI to FI Settlement,13105,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,13105003,Excess Cash,13105,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,13105004,MasterCard Prepaid International (USD),13105,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,13105006,bKash Commission Payable,13105,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,13105007,Payable to Bangladesh Bank - Service Charge,13105,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,13105008,BEFTN Transaction BDT,13105,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,13105009,Exchange House Coop Fund,13105,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,13105010,MasterCard Local Prepaid,13105,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,13105011,Prepaid Gift Card,13105,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,13105012,Prepaid International Card,13105,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,13105013,Online Clearing Adjustment,13105,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,13105014,Risk Fund (Auto Loan),13105,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,13105015,Stamp Charge Recovery,13105,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,13105016,Retail CIB Charge Recover for BB,13105,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,13105017,Retail Notarization Charge Recovery,13105,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,13105018,Central Fund (RMG Sector),13105,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,13105019,Risk Fund (Card),13105,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,13105020,Credit Report Charges Payable,13105,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,13105021,Transfer Delivery,13105,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,13105022,Online GL Transaction <Sundry Account>,13105,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,13105023,Online Transfer DD Amount,13105,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,13105024,Clearing House Payable,13105,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,13105025,Risk Fund (Small Business Loan),13105,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,13105026,Risk Fund (House Repair/Renovation Loan),13105,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,13105027,Lease Deposit,13105,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,13105028,P. Fund Loan Instalment,13105,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,13105029,Foreign Bank Adjustment A/c,13105,Treasury Liabilities,,TRUE,FALSE,Approved
Layer 5,13105030,Recovery of SWIFT Charges,13105,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,13105031,Margin on Letter of Credit (Others),13105,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,13105032,Margin on Bank Guarantee (Inland),13105,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,13105033,Margin on Bank Guarantee (Foreign),13105,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,13105034,Risk Fund (Lease Finance),13105,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,13105035,AIT <Advance Income Tax> Payable Account,13105,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,13105036,Fund Build up Against Export Bill,13105,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,13105037,Sundry Creditors <Vendor Bill Payable>,13105,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,13105038,Security Deposit,13105,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,13105039,Margin on L/C (Cash),13105,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,13105040,Margin on IBP/FDBP,13105,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,13105041,LDBC,13105,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,13105042,Duty Draw Back,13105,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,13105043,Cash Incentive (Traditional),13105,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,13105044,Cash Incentive (Non Traditional),13105,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,13105045,OBC Outward Bill Collection,13105,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,13105046,Advance Lease Rental,13105,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,13105047,Sanchay Patra (Issued),13105,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,13105048,Risk Fund (CCS),13105,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,13105049,Parking Account for Rescheduled Loan,13105,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,13105050,Overdue Deposit Accounts,13105,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,13105051,Parking Account for Interest on Term Deposits,13105,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,13105052,Parking Account for opening Deposit Accounts,13105,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,13105106,bKash Settlement A/c,13105,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,13201001,MTB Buniad,13201,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13201002,NRB Fixed Deposit,13201,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13201003,Term Deposit General,13201,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13201004,Term Deposit Monthly Benefit Plan,13201,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13201901,Best Investment TERM DEPOSIT,13201,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13201902,MTB Quarterly Benefit Plan,13201,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13202001,Reinvestment Term Deposit MTB Buniad,13202,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13202002,Reinvestment Term Deposits General,13202,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13202003,Reinvestment Term Deposit Double Benefit Scheme,13202,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13202004,Reinvestment Term Deposit NRB,13202,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13202901,MTB DOUBLE SAVER (DST),13202,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13202902,MTB TRIPLE SAVER PLAN,13202,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13202903,FIXED DEPOSIT (DST),13202,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13202904,MTB 1.5 Times Benefit Plan,13202,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13203001,RD Brick-by-Brick,13203,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13203002,RD MTB Educational Plan,13203,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13203003,RD Kotipati,13203,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13203004,RD Millionnaire Plan,13203,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13203005,RD NRB,13203,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13204001,FC NON-RESIDENT FOREIGN CURRENCY DEPOSIT ACCOUNT(NFCD)_USD,13204,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13204002,FC FD from Individual OBU USD,13204,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13204003,FC FD from Institutions OBU USD,13204,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13205001,Special Notice Deposit,13205,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13206001,MTB Ankur,13206,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13206002,MTB Ruby,13206,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13206003,MTB Graduate,13206,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13206004,MTB Junior,13206,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13206005,MTB Privilege Saving,13206,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13206006,NRB Savings Account,13206,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13206007,MTB Senior,13206,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13206008,MTB Inspire,13206,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13206009,MTB Shanchay,13206,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13206010,MTB Care,13206,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13206011,Regular Savings Deposit,13206,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13206012,MTB Regular Savings Staff,13206,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13206013,MTB Payroll Premium,13206,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13206014,MTB Payroll eSavers,13206,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13206015,MTB Payroll Saver,13206,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13206016,MTB Children Education Deposit Scheme,13206,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13206901,MTB Inspire (DST),13206,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13206902,MTB Senior (DST),13206,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13206903,MTB Ruby (DST),13206,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13206904,Savings Deposit (DST),13206,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13206905,MTB Graduate (DST),13206,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13206907,EID UL FITRE SANCHAY PROKALPA,13206,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13206908,EID UL AZHA SANCHAY PROKALPA,13206,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13206909,DURGA PUJA SANCHAY PROKALPA,13206,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13206910,CHRISTMAS SANCHAY PROKALPA,13206,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13206912,SAVE EVERY DAY DEPOSIT A/C,13206,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13206913,FESTIVAL SANCHAY PROKALPA,13206,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13206914,UNIQUE SAVING PLAN,13206,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13206911,BUDDHA PURNIMA SANCHAY PROKALPA,13206,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13206906,MTB JUNIOR (DST),13206,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13207001,SB Resident Foreign Currency Deposit (RFCD)_USD,13207,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13207011,FC PRIVATE FOREIGN CURRENCY ACCOUNT (PFC) INCLUDING DFC & RBN_USD,13207,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13207012,FC PRIVATE FOREIGN CURRENCY ACCOUNT (PFC) INCLUDING DFC & RBN_GBP,13207,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13207013,FC PRIVATE FOREIGN CURRENCY ACCOUNT (PFC) INCLUDING DFC & RBN_EUR,13207,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13208001,MTB Gift Cheque,13208,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,13301001,Current Deposits from other Bank,13301,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13302001,Current Deposits from NBFI,13302,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13401001,Bank Deposits -FD <BDT>,13401,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13401002,Bank Deposits -SND,13401,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13402001,NBFI Deposits -FD,13402,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,13501001,Interest Payable MTB Probaho,13501,Interest Payable Accounts,,TRUE,FALSE,Approved
Layer 5,13601001,Interest Payable on MTB Buniad,13601,Interest Payable Accounts,,TRUE,FALSE,Approved
Layer 5,13601002,Interest Payable on NRB Fixed Deposit,13601,Interest Payable Accounts,,TRUE,FALSE,Approved
Layer 5,13601003,Interest Payable on Term Deposit General,13601,Interest Payable Accounts,,TRUE,FALSE,Approved
Layer 5,13601004,Interest Payable on Term Deposit Monthly Benefit Plan,13601,Interest Payable Accounts,,TRUE,FALSE,Approved
Layer 5,13601901,Interest Payable on Best Investment TERM DEPOSIT,13601,Interest Payable Accounts,,TRUE,FALSE,Approved
Layer 5,13601902,IP on MTB Quarterly Benefit Plan,13601,Interest Payable Accounts,,TRUE,FALSE,Approved
Layer 5,13602001,IP MTB Ankur,13602,Interest Payable Accounts,,TRUE,FALSE,Approved
Layer 5,13602002,IP MTB Ruby,13602,Interest Payable Accounts,,TRUE,FALSE,Approved
Layer 5,13602003,IP MTB Graduate,13602,Interest Payable Accounts,,TRUE,FALSE,Approved
Layer 5,13602004,IP MTB Junior,13602,Interest Payable Accounts,,TRUE,FALSE,Approved
Layer 5,13602005,IP MTB Privilege Saving,13602,Interest Payable Accounts,,TRUE,FALSE,Approved
Layer 5,13602006,Interest Payable on NRB Savings Account,13602,Interest Payable Accounts,,TRUE,FALSE,Approved
Layer 5,13602007,IP MTB Senior,13602,Interest Payable Accounts,,TRUE,FALSE,Approved
Layer 5,13602008,IP on MTB Inspire,13602,Interest Payable Accounts,,TRUE,FALSE,Approved
